experiment,ticker,horizon,model,observations,mean_price_mae,median_price_mae,mean_return_abs_error,directional_accuracy
Experiment 1 — Univariate Close,IONQ,20,Naive,50,5.157400131225586,1.9850001335144043,0.2205142777180976,0.0
Experiment 1 — Univariate Close,IONQ,20,XGBoost,50,8.576444903920356,3.6402605254260583,0.3159193177794576,0.56
Experiment 1 — Univariate Close,MSFT,1,ARIMA,50,2.2491634595315877,0.4898615806722404,0.010820337523092994,0.5
Experiment 1 — Univariate Close,MSFT,1,Chronos-2,50,2.146640205383299,0.5409908294677734,0.011014237511191878,0.5
Experiment 1 — Univariate Close,MSFT,1,EGARCH,50,2.1065347188233985,0.5551137704047235,0.010484450417075549,0.68
Experiment 1 — Univariate Close,MSFT,1,ETS,50,2.152357953267458,0.45524114902278257,0.010426104136054125,0.54
Experiment 1 — Univariate Close,MSFT,1,GARCH,50,2.090924316129355,0.5856125516059443,0.010405299403637986,0.66
Experiment 1 — Univariate Close,MSFT,1,GJR-GARCH,50,2.102557481548896,0.56146209300843,0.010464156807464087,0.68
Experiment 1 — Univariate Close,MSFT,1,LightGBM,50,2.443827641347355,0.530488307776988,0.011194367343949138,0.64
Experiment 1 — Univariate Close,MSFT,1,Naive,50,2.1507469558715786,0.4760627746581889,0.010680606701772892,0.0
Experiment 1 — Univariate Close,MSFT,1,XGBoost,50,2.3937850394263656,0.604378503766732,0.011319232521382217,0.5
Experiment 1 — Univariate Close,MSFT,5,ARIMA,50,4.558964274951018,1.1778899786485955,0.02404548516003618,0.44
Experiment 1 — Univariate Close,MSFT,5,Chronos-2,50,4.382616119384766,1.3372507095336896,0.023761047213032425,0.44
Experiment 1 — Univariate Close,MSFT,5,ETS,50,4.419502638729048,1.0573331719565715,0.02351802511818736,0.56
Experiment 1 — Univariate Close,MSFT,5,GARCH,50,4.237094322146184,1.1228486810671683,0.022939348036224435,0.68
Experiment 1 — Univariate Close,MSFT,5,GJR-GARCH,50,4.285482651802267,1.201208359264161,0.02311297503474135,0.7
Experiment 1 — Univariate Close,MSFT,5,LightGBM,50,4.754589162438264,2.3311585795985508,0.026178284049115645,0.54
Experiment 1 — Univariate Close,MSFT,5,Naive,50,4.5117690658569325,1.0463991165161115,0.023970905774410314,0.0
Experiment 1 — Univariate Close,MSFT,5,XGBoost,50,4.556370676336346,1.7134987733779958,0.024339181561144216,0.56
Experiment 1 — Univariate Close,MSFT,10,ARIMA,50,6.538217962878701,1.93338160500128,0.033059121466052804,0.5
Experiment 1 — Univariate Close,MSFT,10,Chronos-2,50,5.983385086059568,1.2983207702636719,0.029696968227690634,0.66
Experiment 1 — Univariate Close,MSFT,10,ETS,50,6.366752446557971,1.8318788235188208,0.03198656282630037,0.64
Experiment 1 — Univariate Close,MSFT,10,GARCH,50,6.053670676229193,1.6689277139350196,0.030458384464944643,0.74
Experiment 1 — Univariate Close,MSFT,10,GJR-GARCH,50,6.107941931027722,1.5974276369970717,0.030925532698586736,0.72
