ticker,experiment,cutoff_date,horizon,model,actual,predicted,price_mae,return_abs_error,direction_hit
NVDA,Experiment 1 — Univariate Close,2019-09-04,20,lightgbm,4.298345565795898,3.3085113023417105,0.9898342634541879,0.2361229523013122,0.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,1,naive,5.888233661651611,5.945906162261963,0.05767250061035156,0.009699530910257659,0.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,1,arima,5.888233661651611,5.94574442028577,0.057510758634158776,0.009672328668618002,1.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,1,ets,5.888233661651611,5.952148795727617,0.06391513407600602,0.01074943538155182,0.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,1,garch,5.888233661651611,5.952308305385928,0.06407464373431626,0.010776262185399288,0.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,1,egarch,5.888233661651611,5.9514883457134236,0.06325468406181223,0.01063835895414611,0.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,1,gjr_garch,5.888233661651611,5.9516438127025335,0.06341015105092218,0.010664505849987904,0.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,1,xgboost,5.888233661651611,5.9562375962128264,0.06800393456121512,0.011437101882439515,0.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,1,lightgbm,5.888233661651611,6.047820357608424,0.15958669595681307,0.026839760265591206,0.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,5,naive,5.868346691131592,5.945906162261963,0.0775594711303711,0.013044180149130669,0.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,5,arima,5.868346691131592,5.94578940382671,0.07744271269511849,0.013024543371814246,1.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,5,ets,5.868346691131592,5.977037791423774,0.10869110029218199,0.018279989176760547,0.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,5,garch,5.868346691131592,5.977985886022312,0.10963919489072005,0.01843944251703611,0.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,5,gjr_garch,5.868346691131592,5.974649834807138,0.10630314367554661,0.01787837560408223,0.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,5,xgboost,5.868346691131592,5.9225084931056315,0.05416180197403975,0.009109091279946413,1.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,5,lightgbm,5.868346691131592,5.853694124706775,0.01465256642481716,0.0024643117508000856,1.0
NVDA,Experiment 1 — Univariate Close,2019-12-26,10,naive,6.073429107666016,5.945906162261963,0.12752294540405273,0.02144718431875492,0.0
