ticker,horizon,model,model_type,observations,mean_price_mae,median_price_mae,mean_return_abs_error,directional_accuracy
ENPH,10,ARIMA,statistical_ml,200,7.868668539964444,2.126791564547224,0.13040791893218537,0.64
ENPH,10,Chronos-LoRA-V1,chronos_lora,50,7.951300999511695,2.1519132140720787,0.13540815270500045,0.56
ENPH,10,Chronos-LoRA-V2,chronos_lora,50,8.09793753278385,2.15907037072701,0.1366250872171348,0.5
ENPH,10,Chronos-LoRA-V3,chronos_lora,50,8.016145916546881,2.105703563091041,0.13512861774494817,0.54
ENPH,10,Chronos-LoRA-V4,chronos_lora,50,8.012780433587265,2.0234237755243085,0.13660342486286708,0.5
ENPH,10,EGARCH,statistical_ml,0,,,,
ENPH,10,ETS,statistical_ml,200,7.744211415923505,2.1257667906503315,0.13046648601881916,0.54
ENPH,10,GARCH,statistical_ml,200,7.94693516470971,2.4280352991444003,0.13454379770994943,0.36
ENPH,10,GJR-GARCH,statistical_ml,200,7.946337154969244,2.427172604121714,0.1348556814826371,0.36
ENPH,10,LightGBM,statistical_ml,200,10.212960683728866,1.6812042353321206,0.1531336351702925,0.52
ENPH,10,Naive,statistical_ml,200,7.874799482822418,2.130000114440917,0.13106677546211792,
ENPH,10,VAR,statistical_ml,0,,,,
ENPH,10,XGBoost,statistical_ml,200,9.692819430155025,2.2484516259563767,0.15358103020023547,0.54
ENPH,20,ARIMA,statistical_ml,200,12.179544611558008,3.414318147128969,0.2062305543387916,0.56
ENPH,20,Chronos-LoRA-V1,chronos_lora,50,12.35893048677594,3.6099178938943304,0.21067670263425042,0.68
ENPH,20,Chronos-LoRA-V2,chronos_lora,50,12.416925526329335,3.9213931135992226,0.20900599437179782,0.6
ENPH,20,Chronos-LoRA-V3,chronos_lora,50,12.395945997373335,3.5918672384562376,0.20924101745639018,0.64
ENPH,20,Chronos-LoRA-V4,chronos_lora,50,12.36116135022782,3.5156168088670263,0.2076436935174242,0.64
ENPH,20,EGARCH,statistical_ml,0,,,,
ENPH,20,ETS,statistical_ml,200,12.192508874368539,3.4013470558233045,0.2099219342028163,0.52
ENPH,20,GARCH,statistical_ml,200,12.168630977836363,3.4570649972765786,0.21055557778929634,0.4
ENPH,20,GJR-GARCH,statistical_ml,200,12.176000715303033,3.4694723008386097,0.21124019410384853,0.4
ENPH,20,LightGBM,statistical_ml,200,17.072006935760985,3.612087095287503,0.27282074440937915,0.46
ENPH,20,Naive,statistical_ml,200,12.206600259542462,3.4149980545043945,0.20658585887743328,
ENPH,20,VAR,statistical_ml,0,,,,
ENPH,20,XGBoost,statistical_ml,200,15.492855347754675,3.581961085484899,0.25618065503236337,0.48
IONQ,1,ARIMA,statistical_ml,200,1.320752055938457,0.49764478771891696,0.050458497707276354,0.42
IONQ,1,Chronos-LoRA-V1,chronos_lora,50,1.3280404040150393,0.522267841349592,0.05038399674890895,0.36
IONQ,1,Chronos-LoRA-V2,chronos_lora,50,1.3199647090318956,0.5564503871195781,0.05013403599715474,0.36
IONQ,1,Chronos-LoRA-V3,chronos_lora,50,1.318632693570855,0.49192183365985187,0.05000002700971007,0.4
IONQ,1,Chronos-LoRA-V4,chronos_lora,50,1.325530886028873,0.5858876656032228,0.050225795603964764,0.32
IONQ,1,EGARCH,statistical_ml,200,1.306746466984258,0.5000337243770456,0.049443982949098936,0.4
IONQ,1,ETS,statistical_ml,200,1.3109294017546844,0.47583699972819815,0.049565391288906725,0.52
IONQ,1,GARCH,statistical_ml,200,1.3073580531743525,0.500018627358302,0.04946183123656225,0.38
IONQ,1,GJR-GARCH,statistical_ml,200,1.307348174727973,0.5000858036017792,0.049459283551666997,0.4
IONQ,1,LightGBM,statistical_ml,200,1.9067517885353067,0.6973523398265256,0.06732623051817041,0.4
IONQ,1,Naive,statistical_ml,200,1.3065998315811158,0.4999995231628418,0.049431477897668434,
IONQ,1,VAR,statistical_ml,0,,,,
IONQ,1,XGBoost,statistical_ml,200,1.766403968640491,0.6409924994436667,0.06075418376260569,0.4
IONQ,5,ARIMA,statistical_ml,200,2.7136571631471123,1.1994268384861968,0.10083116224645028,0.5
IONQ,5,Chronos-LoRA-V1,chronos_lora,50,2.729143790085097,1.2376932165669663,0.09813032055969634,0.56
IONQ,5,Chronos-LoRA-V2,chronos_lora,50,2.8358230878925332,1.2593585467827166,0.10303882093456292,0.4
IONQ,5,Chronos-LoRA-V3,chronos_lora,50,2.7750508043277904,1.2916741039953754,0.10004010426202997,0.5
IONQ,5,Chronos-LoRA-V4,chronos_lora,50,2.82712893862076,1.2788406126531902,0.10299296115729517,0.38
IONQ,5,EGARCH,statistical_ml,0,,,,
IONQ,5,ETS,statistical_ml,200,2.713840565090361,1.2359683634005627,0.09989837052450923,0.44
IONQ,5,GARCH,statistical_ml,200,2.726103354826817,1.2142060156362637,0.10041317737909072,0.58
IONQ,5,GJR-GARCH,statistical_ml,200,2.726272473831015,1.216648001742116,0.10042346995833037,0.56
IONQ,5,LightGBM,statistical_ml,200,3.6369621096086475,1.2072356674105045,0.12965941005936144,0.46
IONQ,5,Naive,statistical_ml,200,2.7287999248504637,1.2299981117248535,0.10049100867837253,
IONQ,5,VAR,statistical_ml,0,,,,
IONQ,5,XGBoost,statistical_ml,200,3.5145774524285383,0.91209057543188,0.1197229029202815,0.5
IONQ,10,ARIMA,statistical_ml,200,3.580088388456635,1.3824955297500159,0.1493805446945755,0.54
IONQ,10,Chronos-LoRA-V1,chronos_lora,50,3.696204578599228,1.593573150916055,0.15060429987831983,0.54
IONQ,10,Chronos-LoRA-V2,chronos_lora,50,3.718143068565246,1.6480287538946738,0.15097426805796815,0.5
IONQ,10,Chronos-LoRA-V3,chronos_lora,50,3.7072392899088817,1.6514386904029088,0.15066196938333853,0.54
IONQ,10,Chronos-LoRA-V4,chronos_lora,50,3.7348099615199213,1.7997402226431358,0.15194893600553538,0.54
IONQ,10,EGARCH,statistical_ml,0,,,,
IONQ,10,ETS,statistical_ml,200,3.5821522126665912,1.389999865144489,0.14885883587664744,0.44
IONQ,10,GARCH,statistical_ml,200,3.6128928686259525,1.5754163055697106,0.15013100511873342,0.54
IONQ,10,GJR-GARCH,statistical_ml,200,3.613086799833714,1.5781770593085716,0.15015823484256172,0.52
IONQ,10,LightGBM,statistical_ml,200,4.887553404124032,2.826141392122441,0.19219751495435194,0.54
IONQ,10,Naive,statistical_ml,200,3.6133999252319335,1.5900001525878906,0.15015437586672314,
IONQ,10,VAR,statistical_ml,0,,,,
IONQ,10,XGBoost,statistical_ml,200,4.6371054815048725,2.8236512877887963,0.18537417625100042,0.58
IONQ,20,ARIMA,statistical_ml,200,5.095924116489358,1.9851023263893088,0.2171064228519726,0.62
IONQ,20,Chronos-LoRA-V1,chronos_lora,50,5.4029298951093505,2.532116761950893,0.22862765567089272,0.54
IONQ,20,Chronos-LoRA-V2,chronos_lora,50,5.403692640075848,2.510889224934616,0.22605406810146383,0.52
IONQ,20,Chronos-LoRA-V3,chronos_lora,50,5.39614695142185,2.3612068547542644,0.22675262031367535,0.46
IONQ,20,Chronos-LoRA-V4,chronos_lora,50,5.39872372064374,2.578355877233539,0.22617462260688506,0.5
IONQ,20,EGARCH,statistical_ml,0,,,,
IONQ,20,ETS,statistical_ml,200,5.1101873463967555,1.9850001333653928,0.21819681165596272,0.44
IONQ,20,GARCH,statistical_ml,200,5.1563626028992555,1.9856592732846639,0.22065505690868548,0.5
IONQ,20,GJR-GARCH,statistical_ml,200,5.156860300608425,1.985570462843285,0.22071226419406206,0.48
IONQ,20,LightGBM,statistical_ml,200,8.880645441235075,4.471035514673783,0.33775179777304615,0.5
IONQ,20,Naive,statistical_ml,200,5.157400131225586,1.9850001335144043,0.2205142777180976,
IONQ,20,VAR,statistical_ml,0,,,,
IONQ,20,XGBoost,statistical_ml,200,8.576444903920356,3.6402605254260583,0.3159193177794576,0.56
MSFT,1,ARIMA,statistical_ml,200,2.2491634595315877,0.4898615806722404,0.010820337523092994,0.5
MSFT,1,Chronos-LoRA-V1,chronos_lora,50,2.0565261855484893,0.4924105209829399,0.010264284015073231,0.72
MSFT,1,Chronos-LoRA-V2,chronos_lora,50,2.029973158505111,0.5517075316730491,0.01014389937446113,0.72
MSFT,1,Chronos-LoRA-V3,chronos_lora,50,2.0319776394125113,0.5512282640598194,0.010167275196730568,0.72
MSFT,1,Chronos-LoRA-V4,chronos_lora,50,2.0401696848445408,0.4761403985474679,0.0101980701961301,0.66
MSFT,1,EGARCH,statistical_ml,200,2.1065347188233985,0.5551137704047235,0.010484450417075549,0.68
MSFT,1,ETS,statistical_ml,200,2.152357953267458,0.45524114902278257,0.010426104136054125,0.54
MSFT,1,GARCH,statistical_ml,200,2.090924316129355,0.5856125516059443,0.010405299403637986,0.66
MSFT,1,GJR-GARCH,statistical_ml,200,2.102557481548896,0.56146209300843,0.010464156807464087,0.68
MSFT,1,LightGBM,statistical_ml,200,2.443827641347355,0.530488307776988,0.011194367343949138,0.64
MSFT,1,Naive,statistical_ml,200,2.1507469558715786,0.4760627746581889,0.010680606701772892,
MSFT,1,VAR,statistical_ml,0,,,,
MSFT,1,XGBoost,statistical_ml,200,2.3937850394263656,0.604378503766732,0.011319232521382217,0.5
